Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel,Class_Eco,Class_Eco Plus,satisfaction_satisfied,Age,Flight Distance,Inflight entertainment,Baggage handling,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
1,1,0,0,0,0,25,235,1,3,1,1,6.0
1,1,0,1,0,0,20,1061,2,4,2,0,0.0
0,1,0,1,0,0,24,1182,2,5,2,0,0.0
1,1,0,1,0,0,13,486,4,4,4,1,0.0
0,1,0,1,0,1,23,452,1,5,1,54,44.0
0,1,0,1,0,0,15,1043,5,4,5,3,0.0
1,1,0,0,0,0,37,1182,1,3,1,9,0.0
0,1,0,0,0,0,34,883,5,5,5,0,0.0
1,1,0,0,0,0,41,354,1,4,1,0,0.0
0,1,0,0,0,0,25,1452,3,5,3,9,23.0
0,1,0,0,0,0,38,308,4,4,4,39,26.0
1,1,0,1,0,0,23,446,4,4,4,4,0.0
1,1,0,0,0,0,39,216,3,4,3,0,0.0
1,1,0,1,0,0,25,646,4,3,4,13,1.0
1,1,0,0,0,0,39,895,5,4,5,0,2.0
0,1,0,0,0,1,25,1435,1,5,1,1,1.0
0,1,0,1,0,0,50,216,4,1,4,0,0.0
0,1,0,0,0,0,41,1670,3,3,3,0,0.0
0,1,0,1,0,0,25,817,3,2,3,0,0.0
0,1,0,0,0,0,44,1670,5,4,5,0,8.0
0,1,0,0,0,1,21,861,1,4,1,0,0.0
1,1,0,1,0,0,13,525,3,3,3,0,0.0
0,1,0,0,0,1,41,304,2,4,2,31,19.0
0,1,0,0,0,1,42,883,3,4,3,22,27.0
0,1,0,0,1,0,27,1080,3,3,3,0,0.0
1,1,0,0,0,1,22,231,5,4,5,0,0.0
1,1,0,1,0,0,11,972,1,4,1,0,0.0
0,1,0,1,0,0,26,488,1,5,1,0,0.0
0,1,0,1,0,0,24,372,3,4,3,21,23.0
1,1,0,1,0,0,26,416,1,2,1,0,9.0
1,1,0,0,0,1,26,351,2,4,2,4,11.0
1,1,0,1,0,0,24,791,5,3,5,39,6.0
0,1,0,0,0,0,29,1035,5,4,5,0,0.0
1,1,0,1,0,0,24,446,5,4,5,0,0.0
1,1,0,1,0,1,20,861,2,5,2,0,0.0
1,1,0,1,0,0,26,888,5,3,5,51,30.0
1,1,0,0,0,0,8,1117,3,4,3,0,7.0
0,1,0,0,0,0,49,980,3,5,3,11,6.0
0,1,0,1,0,0,35,1462,3,1,3,0,0.0
0,1,0,0,0,0,38,349,4,4,4,29,28.0
1,1,0,1,0,1,23,416,4,5,4,18,4.0
1,1,0,1,0,0,27,925,5,5,5,4,3.0
0,1,0,1,0,0,26,1055,4,4,4,0,0.0
0,1,0,1,0,0,26,804,4,4,4,7,0.0
0,1,0,0,0,0,33,356,4,5,4,12,0.0
0,1,0,0,0,1,26,114,4,5,4,0,13.0
1,1,0,1,0,0,26,406,5,1,3,149,138.0
0,1,0,0,0,1,37,372,4,5,4,11,0.0
1,1,0,0,0,1,39,140,4,4,4,0,7.0
0,1,0,0,1,0,21,903,1,3,1,35,28.0
0,1,0,1,0,0,62,255,2,3,2,113,107.0
0,1,0,0,0,0,40,156,4,5,4,0,0.0
0,1,0,1,0,0,26,190,1,4,1,0,0.0
1,1,0,0,0,1,37,468,4,4,4,0,0.0
1,1,0,0,0,1,21,255,2,5,2,0,0.0
1,1,0,1,0,0,24,347,5,4,5,0,0.0
1,1,0,0,0,1,20,369,1,4,1,0,0.0
1,1,0,1,0,0,26,842,5,3,5,38,28.0
1,1,0,0,0,0,16,1107,1,3,1,0,0.0
0,1,0,0,0,0,36,327,5,5,5,0,0.0
0,1,0,1,0,1,23,577,5,4,5,0,0.0
0,1,0,0,1,0,17,191,4,4,4,39,34.0
0,1,0,1,0,1,25,317,5,2,5,9,5.0
1,1,0,0,0,0,26,502,5,4,5,53,52.0
1,1,0,1,0,0,25,1258,1,3,2,199,185.0
0,1,0,0,0,0,38,1189,3,5,3,3,0.0
1,1,0,1,0,1,23,1021,3,5,3,0,0.0
0,1,0,0,0,0,25,545,5,5,5,0,2.0
0,1,0,0,0,1,26,569,3,4,3,96,91.0
0,1,0,1,0,0,36,371,5,2,5,11,6.0
0,1,0,1,0,0,20,859,4,3,4,3,24.0
0,1,0,1,0,0,27,399,5,3,5,0,0.0
1,1,1,1,0,1,43,888,4,4,4,0,0.0
0,1,0,0,0,1,44,288,4,4,4,0,0.0
0,1,0,0,0,0,26,1024,5,4,5,16,14.0
1,1,0,1,0,0,23,1428,2,5,2,0,7.0
1,1,0,0,0,0,36,414,3,5,3,0,0.0
1,1,0,1,0,0,22,251,2,5,2,0,0.0
0,1,0,1,0,0,21,192,1,3,1,0,0.0
1,1,0,1,0,1,21,1444,4,4,1,1,2.0
0,1,0,0,0,1,38,1389,2,5,2,3,0.0
1,1,0,0,0,0,26,285,3,3,3,0,3.0
1,1,0,1,0,0,47,707,3,3,3,16,9.0
1,1,0,1,0,0,25,2585,3,4,3,0,0.0
1,1,0,1,0,0,30,813,3,4,3,105,105.0
1,1,0,0,0,1,37,148,4,5,4,1,0.0
0,1,0,0,0,1,24,255,3,4,3,0,0.0
0,1,0,1,0,0,42,1874,3,3,3,0,5.0
1,1,0,1,0,0,27,326,5,1,5,5,0.0
1,1,0,0,0,0,38,130,1,4,1,15,8.0
1,1,0,1,0,0,20,1269,3,3,3,0,0.0
0,1,0,1,0,0,36,965,3,1,3,4,11.0
1,1,1,1,0,0,10,192,2,4,2,3,4.0
1,1,0,1,0,0,7,491,5,3,5,22,11.0
0,1,0,0,0,0,35,668,5,5,5,0,0.0
1,1,0,1,0,0,39,813,2,3,2,0,0.0
0,1,0,0,0,0,35,200,2,5,2,0,8.0
0,1,0,1,0,0,20,1394,3,4,4,0,3.0
1,1,0,1,0,0,37,107,3,4,4,232,241.0
0,1,0,0,0,0,37,235,4,5,4,0,30.0
0,1,0,1,0,0,26,1303,3,3,3,0,0.0
0,1,0,1,0,0,11,529,4,4,4,15,15.0
1,1,0,0,0,1,25,483,5,5,5,0,0.0
1,1,0,1,0,0,22,480,3,4,3,17,4.0
0,1,0,0,0,0,40,384,2,4,2,0,6.0
0,1,0,1,0,0,24,1042,1,3,1,0,0.0
1,1,0,0,0,0,32,157,2,4,2,0,0.0
0,1,0,1,0,0,28,160,1,3,1,52,44.0
0,1,0,0,0,1,20,386,4,5,4,0,0.0
0,1,0,0,0,1,41,369,3,5,3,0,0.0
1,1,0,1,0,1,25,1264,2,3,2,3,0.0
0,1,0,0,0,1,40,666,2,4,2,0,0.0
1,1,0,1,0,1,22,748,3,3,3,0,0.0
1,1,0,1,0,0,26,304,4,5,4,0,6.0
0,1,0,0,0,1,24,411,2,5,2,0,0.0
1,1,0,0,0,1,38,762,4,5,4,0,4.0
0,1,0,0,0,0,26,2475,4,5,4,0,0.0
1,1,0,0,0,1,23,1041,2,5,2,15,1.0
1,1,0,0,0,1,65,473,1,4,1,11,33.0
1,1,0,1,0,0,47,608,1,3,1,83,45.0
0,1,0,1,0,0,8,1107,5,4,5,18,5.0
1,1,0,1,0,0,19,501,3,4,3,0,0.0
1,1,0,0,0,0,25,541,4,5,4,0,0.0
0,1,0,0,0,0,39,421,4,4,4,0,0.0
0,1,1,1,0,1,69,1334,4,4,4,4,0.0
0,1,0,1,0,0,25,1576,1,4,1,0,0.0
0,1,0,1,0,0,47,247,4,2,4,0,6.0
0,1,0,1,0,0,13,986,1,4,1,2,26.0
0,1,0,0,1,0,29,868,3,3,3,0,0.0
1,1,0,0,0,1,15,1039,5,4,5,4,0.0
0,1,0,1,0,0,36,140,2,3,2,2,9.0
1,1,0,1,0,0,22,434,1,1,1,5,6.0
0,1,0,1,0,1,24,303,3,2,3,0,0.0
1,1,0,1,0,0,23,862,4,3,4,1,33.0
0,1,0,1,0,0,25,1444,4,4,4,0,0.0
0,1,0,1,0,0,34,1142,1,3,4,4,26.0
1,1,0,0,0,1,22,395,5,4,5,8,0.0
1,1,0,0,0,0,26,678,4,5,4,0,0.0
0,1,0,1,0,0,43,358,5,2,5,0,45.0
0,1,0,1,0,0,17,876,2,3,2,2,0.0
0,1,0,1,0,0,22,1249,4,3,2,144,142.0
0,1,0,1,0,0,37,308,5,3,5,0,3.0
1,1,0,0,0,0,33,731,3,4,3,0,0.0
1,1,0,0,0,1,22,447,2,4,2,0,0.0
0,1,0,0,0,0,56,179,4,4,4,0,0.0
1,1,0,1,0,0,25,495,3,3,3,0,0.0
1,1,0,1,0,0,21,187,4,5,4,71,66.0
1,1,0,0,0,0,38,271,5,3,5,0,0.0
1,1,0,0,0,0,39,689,3,4,3,1,0.0
1,1,0,0,0,0,25,403,4,4,4,20,1.0
1,1,0,1,0,0,36,292,1,4,1,5,1.0
0,1,0,1,0,0,27,589,3,2,3,0,0.0
0,1,0,0,0,1,25,1318,4,3,4,8,0.0
1,1,0,1,0,0,40,639,4,1,4,0,0.0
0,1,0,0,0,0,29,589,4,3,4,6,2.0
0,1,0,0,0,1,25,978,4,5,4,0,0.0
0,1,0,1,0,1,22,214,5,5,5,2,0.0
0,1,0,1,0,0,27,163,2,1,2,0,0.0
1,1,0,0,0,0,34,304,2,4,2,74,77.0
1,1,0,0,0,0,29,224,3,5,3,0,3.0
1,1,0,1,0,0,21,534,3,4,3,26,34.0
0,1,0,1,0,0,26,895,2,5,2,0,0.0
1,1,0,1,0,1,24,177,1,3,1,0,0.0
0,1,0,0,0,1,21,185,3,4,3,0,0.0
0,1,0,1,0,0,54,1209,4,3,4,0,2.0
0,1,0,0,1,0,24,391,3,5,3,0,0.0
1,1,0,0,0,0,27,1089,1,4,1,0,7.0
0,1,1,1,0,0,56,589,3,1,3,7,12.0
1,1,0,1,0,0,21,594,3,4,3,0,0.0
0,1,0,0,1,0,62,316,4,4,4,0,0.0
1,1,0,1,0,0,34,936,1,4,1,0,0.0
0,1,0,1,0,0,12,1269,4,4,4,18,19.0
1,1,0,0,0,1,24,1138,5,4,5,0,0.0
0,1,0,1,0,1,23,196,5,4,3,154,154.0
0,1,0,1,0,0,34,833,2,3,2,46,41.0
0,1,0,1,0,0,37,399,2,3,2,0,0.0
1,1,0,0,0,0,39,689,1,5,1,4,3.0
1,1,0,1,0,0,21,101,1,4,1,0,0.0
1,1,0,1,0,0,25,569,3,3,3,0,0.0
1,1,0,1,0,0,18,163,5,2,5,0,1.0
0,1,0,1,0,0,33,349,4,4,4,19,39.0
0,1,0,0,0,0,35,723,1,4,1,0,0.0
0,1,0,0,0,1,25,393,4,4,4,1,0.0
1,1,0,0,0,0,19,236,2,4,2,0,0.0
0,1,0,1,0,0,20,473,3,3,3,0,0.0
1,1,0,0,0,0,33,588,3,4,3,40,30.0
0,1,0,0,0,0,80,206,1,1,2,8,9.0
1,1,0,0,0,1,26,196,2,4,2,27,40.0
0,1,0,1,0,0,33,109,5,3,5,0,0.0
1,1,0,0,0,0,28,2342,3,5,3,0,0.0
0,1,0,0,0,0,42,460,5,5,5,0,0.0
0,1,0,1,0,1,18,1351,4,5,4,0,0.0
1,1,0,0,0,1,26,594,2,4,2,0,0.0
1,1,0,1,0,0,18,919,4,4,4,0,0.0
0,1,0,1,0,0,22,1389,5,5,5,0,0.0
1,1,0,0,0,1,26,719,4,5,4,0,56.0
1,1,0,1,0,0,30,759,4,4,4,0,0.0
0,1,0,1,0,0,19,950,2,4,2,0,0.0
1,1,0,0,0,0,26,235,5,5,5,0,5.0
0,1,0,1,0,1,65,328,4,5,4,0,0.0
0,1,0,1,0,0,15,448,2,5,2,1,0.0
0,1,0,1,0,0,27,1076,2,3,2,44,44.0
0,1,0,1,0,0,24,532,3,5,3,0,0.0
1,1,0,0,0,0,43,2454,1,5,1,19,0.0
0,1,0,1,0,0,37,1036,1,5,1,5,17.0
1,1,0,0,1,0,35,1947,5,4,5,8,13.0
0,1,0,1,0,0,25,353,5,3,5,0,0.0
0,1,0,0,0,0,62,449,2,5,2,2,1.0
0,1,0,0,0,0,40,156,4,3,4,0,0.0
0,1,0,1,0,0,23,164,2,2,2,36,40.0
0,1,0,0,0,0,39,590,5,5,5,0,3.0
1,1,0,1,0,0,30,843,3,2,3,149,116.0
0,1,0,1,0,0,25,545,2,4,2,0,5.0
0,1,0,1,0,1,26,459,2,4,4,412,459.0
0,1,0,0,0,0,26,251,5,4,5,5,4.0
1,1,0,1,0,0,20,846,2,2,2,15,41.0
1,1,0,0,0,1,25,591,5,4,5,1,0.0
0,1,0,0,0,1,64,312,4,4,4,0,0.0
1,1,0,1,0,0,64,315,5,3,5,0,24.0
0,1,0,0,1,0,17,258,4,4,4,0,0.0
1,1,0,1,0,0,24,761,1,4,1,7,12.0
0,1,0,0,0,1,26,386,1,4,1,5,4.0
0,1,0,1,0,0,34,458,5,4,5,35,31.0
1,1,0,1,0,0,25,320,2,5,2,0,0.0
0,1,0,1,0,0,55,468,1,5,1,0,0.0
1,1,0,0,0,1,28,405,3,5,3,14,11.0
0,1,0,0,0,0,42,337,2,4,2,0,25.0
0,1,0,1,0,0,26,972,4,3,4,0,0.0
1,1,0,1,0,0,8,1023,1,3,1,0,0.0
1,1,0,0,0,0,50,1670,2,3,2,18,3.0
0,1,0,0,0,0,29,368,2,5,2,0,2.0
1,1,0,1,0,0,20,153,5,5,5,0,0.0
1,1,0,0,0,0,26,432,2,4,2,0,31.0
1,1,0,1,0,0,39,237,4,4,4,7,50.0
0,1,0,1,0,0,36,391,1,4,1,70,62.0
0,1,0,0,0,1,21,407,5,4,5,39,38.0
0,1,0,1,0,0,26,1068,3,3,3,0,0.0
1,1,0,0,0,0,25,678,1,5,1,2,0.0
0,1,0,1,0,0,36,326,3,4,3,0,0.0
0,1,0,0,0,0,26,337,4,4,4,0,0.0
1,1,0,0,0,1,37,214,5,4,5,0,0.0
1,1,0,1,0,1,22,802,2,4,2,4,46.0
0,1,0,0,0,1,29,867,2,3,2,0,0.0
0,1,0,1,0,0,24,109,1,5,1,59,81.0
0,1,0,1,0,0,22,409,2,4,2,0,0.0
0,1,0,1,0,0,43,779,2,4,2,0,0.0
1,1,0,0,0,0,26,271,1,4,5,113,203.0
0,1,0,0,0,0,30,991,3,4,3,0,0.0
1,1,0,1,0,0,26,113,3,2,3,0,22.0
1,1,0,0,0,0,39,309,1,4,1,0,0.0
0,1,0,1,0,1,21,468,1,4,1,30,19.0
0,1,0,0,0,0,39,925,2,2,2,0,6.0
1,1,0,0,0,1,25,646,1,4,1,0,0.0
0,1,0,0,0,0,27,455,2,4,2,0,40.0
1,1,0,0,0,0,30,1605,1,4,1,9,1.0
0,1,0,0,0,0,49,1013,4,5,4,0,0.0
1,1,0,1,0,0,21,396,2,4,2,0,0.0
0,1,0,1,0,0,42,304,2,4,2,0,0.0
0,1,0,0,0,0,36,2677,3,3,3,0,0.0
